"ExchNameCME","GroupNameCME","ExchCodeDDF","GroupNameDDF","IsIgnoreDDF","FutureDisplay","FutureReference","OptionDisplay","OptionReference","SpreadDisplay","SpreadReference","StrikeHack","Comment"
"XOCH","BG1C","3","BG1C","Y","0","0","0","0","0","0","0",
"XOCH","BGFV1C","3","BGFV1C","Y","0","0","0","0","0","0","0",
"XOCH","BGG1C","3","BGG1C","Y","0","0","0","0","0","0","0",
"XOCH","BGP1C","3","BGP1C","Y","0","0","0","0","0","0","0",
"XOCH","BGU1C","3","BGU1C","Y","0","0","0","0","0","0","0",
"XOCH","BGZ1C","3","BGZ1C","Y","0","0","0","0","0","0","0",
"XNYM","BH","J","BH","N","0","0","0","0","0","0","0","original:|NBH       BH    J10   YY    0Y|"
"XOCH","BHI1C","3","BHI1C","Y","0","0","0","0","0","0","0",
"XOCH","BHLB1C","3","BHLB1C","Y","0","0","0","0","0","0","0",
"XOCH","BHP1C","3","BHP1C","Y","0","0","0","0","0","0","0",
"XOCH","BHS1C","3","BHS1C","Y","0","0","0","0","0","0","0",
"XOCH","BID1C","3","BID1C","Y","0","0","0","0","0","0","0",
"XOCH","BIDU1C","3","BIDU1C","Y","0","0","0","0","0","0","0",
"XOCH","BIDZ1C","3","BIDZ1C","Y","0","0","0","0","0","0","0",
"XOCH","BIG1C","3","BIG1C","Y","0","0","0","0","0","0","0",
"XOCH","BIIB1C","3","BIIB1C","Y","0","0","0","0","0","0","0",
"XOCH","BJS1C","3","BJS1C","Y","0","0","0","0","0","0","0",
"XOCH","BK1C","3","BK1C","Y","0","0","0","0","0","0","0",
"XOCH","BKD1C","3","BKD1C","Y","0","0","0","0","0","0","0",
"XOCH","BKE1C","3","BKE1C","Y","0","0","0","0","0","0","0",
"XOCH","BKF1C","3","BKF1C","Y","0","0","0","0","0","0","0",
"XOCH","BKMU1C","3","BKMU1C","Y","0","0","0","0","0","0","0",
"XOCH","BKS1C","3","BKS1C","Y","0","0","0","0","0","0","0",
"XOCH","BLDR1C","3","BLDR1C","Y","0","0","0","0","0","0","0",
"XOCH","BLK1C","3","BLK1C","Y","0","0","0","0","0","0","0",
"XOCH","BLL1C","3","BLL1C","Y","0","0","0","0","0","0","0",
"XOCH","BLT1C","3","BLT1C","Y","0","0","0","0","0","0","0",
"XOCH","BLX1C","3","BLX1C","Y","0","0","0","0","0","0","0",
"XCBT","SM6","b","BM6","N","0","0","0","0","0","0","0","original:|BSM6      BM6   b10   YY    EY|"
"XCBT","MC6","b","BMC","N","0","0","0","0","0","0","0","original:|BMC6      BMC   b10   YY    EY|"
"XOCH","BMC1C","3","BMC1C","Y","0","0","0","0","0","0","0",
"XOCH","BMO1C","3","BMO1C","Y","0","0","0","0","0","0","0",
"XOCH","BMR1C","3","BMR1C","Y","0","0","0","0","0","0","0",
"XOCH","BMRN1C","3","BMRN1C","Y","0","0","0","0","0","0","0",
"XOCH","BMS1C","3","BMS1C","Y","0","0","0","0","0","0","0",
"XCBT","MYC","b","BMY","N","0","0","0","0","0","0","0","original:|BMYC      BMY   b10   YY    EY|"
"XOCH","BMY1C","3","BMY1C","Y","0","0","0","0","0","0","0",
"XOCH","BNCL1C","3","BNCL1C","Y","0","0","0","0","0","0","0",
"XOCH","BNI1C","3","BNI1C","Y","0","0","0","0","0","0","0",
"XOCH","BNS1C","3","BNS1C","Y","0","0","0","0","0","0","0",
"XCBT","BO","B","BO","N","0","0","0","0","0","0","0","original:|BBO       BO    B10   YY    AY|"
"XCBT","OY","B","BO","N","0","0","0","0","0","0","0","original:|BOY       BO    B10  CYY6   AY|"
"XCBT","OZ","B","BO","N","0","0","0","0","0","0","0","original:|BOZ       BO    B10  PYY6   AY|"
"XCBT","CO6","b","BO6","N","0","0","0","0","0","0","0","original:|BCO6      BO6   b10   YY    EY|"
"XCBT","BOB","B","BOB","Y","0","0","0","0","0","0","0","New 2009-12-21"
"XOCH","BOBE1C","3","BOBE1C","Y","0","0","0","0","0","0","0",
"XCBT","OC6","b","BOC","N","0","0","0","0","0","0","0","original:|BOC6      BOC   b10   YY    EY|"
"XOCH","BOFL1C","3","BOFL1C","Y","0","0","0","0","0","0","0",
"XOCH","BOH1C","3","BOH1C","Y","0","0","0","0","0","0","0",
"XCBT","BOI","B","BOI","Y","0","0","0","0","0","0","0",
"XOCH","BOKF1C","3","BOKF1C","Y","0","0","0","0","0","0","0",
"XOCH","BONT1C","3","BONT1C","Y","0","0","0","0","0","0","0",
"XCBT","COY","b","BOY","N","0","0","0","0","0","0","0","original:|BCOY      BOY   b10   YY    EY|"
"XCME","BP","M","BP","N","0","0","0","0","0","0","0","original:|MBP       BP    M10   YY    EY|"
"XCME","CP","M","BP","N","0","0","0","0","0","0","0","original:|MCP       BP    M10  CYY6   EY|"
"XCME","PP","M","BP","N","0","0","0","0","0","0","0","original:|MPP       BP    M10  PYY6   EY|"
"XOCH","BP1C","3","BP1C","Y","0","0","0","0","0","0","0",
"XOCH","BPFH1C","3","BPFH1C","Y","0","0","0","0","0","0","0",
"XOCH","BPHX1C","3","BPHX1C","Y","0","0","0","0","0","0","0",
"XOCH","BPO1C","3","BPO1C","Y","0","0","0","0","0","0","0",
"XOCH","BPOP1C","3","BPOP1C","Y","0","0","0","0","0","0","0",
"XOCH","BPZ1C","3","BPZ1C","Y","0","0","0","0","0","0","0",
"XCME","BR","M","BR","N","0","0","0","0","0","0","0","original:|MBR       BR    M10   YY    EY|"
"XBMF","BR:A18","2","BR:A18","Y","0","0","0","0","0","0","0",
"XBMF","BR:B11","2","BR:B11","Y","0","0","0","0","0","0","0",
"XBMF","BR:B12","2","BR:B12","Y","0","0","0","0","0","0","0",
"XBMF","BR:B13","2","BR:B13","Y","0","0","0","0","0","0","0",
"XBMF","BR:B14","2","BR:B14","Y","0","0","0","0","0","0","0",
"XBMF","BR:B15","2","BR:B15","Y","0","0","0","0","0","0","0",
"XBMF","BR:B19","2","BR:B19","Y","0","0","0","0","0","0","0",
"XBMF","BR:B20","2","BR:B20","Y","0","0","0","0","0","0","0",
"XBMF","BR:B24","2","BR:B24","Y","0","0","0","0","0","0","0",
"XBMF","BR:B25","2","BR:B25","Y","0","0","0","0","0","0","0",
"XBMF","BR:B27","2","BR:B27","Y","0","0","0","0","0","0","0",
"XBMF","BR:B30","2","BR:B30","Y","0","0","0","0","0","0","0",
